Name,Profile Link,Location,Avvo Rating,Details Snippet
,https://www.avvo.com/attorneys/06905-ct-marjan-kasra-1478035.html,"New York, NY",9.8,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10007-ny-shannon-laguerremaingrette-1231721.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/32801-fl-daniel-fisher-1232540.html,"New York, NY",9.9,"Practice Areas: 
               Immigration, Employment & Labor, Divorce & Separation and more"
,https://www.avvo.com/attorneys/10004-ny-reza-mazaheri-1615901.html,"Bio: Reza Mazaheri is a founding partner of Sethi Mazaheri, LLC. Mr. Mazaheri represents individuals in immigration and criminal proceedings in New Jersey. His most recent experience as a NJ prosecutor brings trial and litigation expertise in criminal ...",9.7,"Practice Areas: 
               Immigration, Criminal Defense, Asylum and more"
,https://www.avvo.com/attorneys/10007-ny-randall-chamberlain-307032.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/11378-ny-smichael-musaobregon-918226.html,"757 Third Avenue, 20th Floor, New York, NY",9.7,"Practice Areas: 
               Immigration, Criminal Defense"
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Choose an area of law that your issue relates to:AppealsBankruptcy & DebtBusinessCar AccidentsChild CustodyChild SupportCivil RightsConsumer ProtectionContracts and AgreementsCriminal DefenseDebt CollectionDivorce and SeparationDomestic ViolenceDUI and DWIElder LawEmployment and LaborEstate PlanningEducationFamilyFederal CrimeForeclosureGeneral PracticeImmigrationIntellectual PropertyLandlord or TenantLawsuits and DisputesLitigationMedical MalpracticePersonal InjuryPrivacyProbateReal EstateResidentialSex CrimeSocial Security & DisabilitySpeeding and Traffic TicketTaxViolent CrimeWorkers CompensationWrongful DeathSee All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,See All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,Browse All Legal Topics
Name not found,Link not found,"New York, NY",David Molot,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
,https://www.avvo.com/attorneys/10018-ny-gigio-ninan-4546460.html,"Bio: In Pursuit of Happiness, millions of people are coming to the US. However, the Land of Opportunities is not obstacle free, thus NYC Immigration Attorney, Tsirina Goroshit, works around the clock to meet clients interests and requirements of laws a...",10,"Practice Areas: 
               Immigration, Employment & Labor, Business and more"
,https://www.avvo.com/attorneys/10018-ny-gigio-ninan-4546460.html,"New York, NY",10,"Practice Areas: 
               Immigration, Employment & Labor, Business and more"
,https://www.avvo.com/attorneys/10007-ny-sumaiya-khalique-4784295.html,"New York, NY",9.3,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10022-ny-tsirina-goroshit-989702.html,"Bio: In Pursuit of Happiness, millions of people are coming to the US. However, the Land of Opportunities is not obstacle free, thus NYC Immigration Attorney, Tsirina Goroshit, works around the clock to meet clients interests and requirements of laws a...",9.8,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10016-ny-rachel-einbund-1792684.html,"New York, NY",9.2,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10001-ny-angela-torregoza-4532937.html,"New York, NY",10,"Practice Areas: 
               Immigration, Business"
,https://www.avvo.com/attorneys/10005-ny-karin-wolman-902139.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10152-ny-mark-davies-556880.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10022-ny-benjamin-simpson-4543545.html,"New York, NY",10,"Practice Areas: 
               Immigration, Criminal Defense, DUI & DWI and more"
,https://www.avvo.com/attorneys/48083-mi-caridad-pastor-735040.html,"New York, NY",10,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/10168-ny-david-gottfried-3810561.html,"Bio: David is a graduate of the State University of New York at Farmingdale and obtained his law degree from the State University of New York at Buffalo Law School. Before joining Gottfried & Gottfried, LLP, David worked for a small personal injury fir...",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10005-ny-eliza-grinberg-966074.html,"New York, NY",9.4,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10016-ny-alexander-rojas-891658.html,"New York, NY",9.4,"Practice Areas: 
               Immigration, Litigation, Business and more"
,https://www.avvo.com/attorneys/10019-ny-michael-schewe-2824450.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10005-ny-eugene-glicksman-834071.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10018-ny-prashanthi-reddy-947381.html,"Bio: Prashanthi Reddy, Esq. Ms Reddy attended the University of Pennsylvania Law School LL.M. (1996). She has experience in the Immigration field since 1997. She is admitted to the bar in New York. Ms Reddy is a member of the American Immigration Lawye...",9.8,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10005-ny-jbruce-weinman-825706.html,"New York, NY",9.8,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10019-ny-l-ehrens-1221805.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/14226-ny-gevork-arutunian-3818416.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10018-ny-sylvia-ayass-3332776.html,"New York, NY",9.9,"Practice Areas: 
               Immigration, Divorce & Separation"
,https://www.avvo.com/attorneys/10007-ny-ruchi-thaker-990429.html,"Bio: I am a NYC-based immigration lawyer focusing on immigration appeals and motions to the court and the Board of Immigration Appeals, deportation defense (criminal and non-criminal), federal court litigation, family-based immigration, asylum, natural...",9.2,"Practice Areas: 
               Immigration"
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Rating not found,Choose an area of law that your issue relates to:AppealsBankruptcy & DebtBusinessCar AccidentsChild CustodyChild SupportCivil RightsConsumer ProtectionContracts and AgreementsCriminal DefenseDebt CollectionDivorce and SeparationDomestic ViolenceDUI and DWIElder LawEmployment and LaborEstate PlanningEducationFamilyFederal CrimeForeclosureGeneral PracticeImmigrationIntellectual PropertyLandlord or TenantLawsuits and DisputesLitigationMedical MalpracticePersonal InjuryPrivacyProbateReal EstateResidentialSex CrimeSocial Security & DisabilitySpeeding and Traffic TicketTaxViolent CrimeWorkers CompensationWrongful DeathSee All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,See All Practice Areas
Name not found,Link not found,"New York, NY",Rating not found,Browse All Legal Topics
Name not found,Link not found,"New York, NY",David Molot,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",Nicole Abruzzo Hemrick,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
,https://www.avvo.com/attorneys/10013-ny-kevin-james-1007532.html,"Bio: Mr. Kevin M. James is a former prosecutor and U.S. Justice Advisor. Mr. James completed three undergraduate degrees in Finance & Investment Banking, Geo-Strategic Politics, and American Law & Government with the City University of New York college...",7.6,"Practice Areas: 
               Immigration, Criminal Defense, Personal Injury and more"
,https://www.avvo.com/attorneys/10013-ny-kevin-james-1007532.html,"Bio: Mr. Kevin M. James is a former prosecutor and U.S. Justice Advisor. Mr. James completed three undergraduate degrees in Finance & Investment Banking, Geo-Strategic Politics, and American Law & Government with the City University of New York college...",7.6,"Practice Areas: 
               Immigration, Criminal Defense, Personal Injury and more"
,https://www.avvo.com/attorneys/18101-pa-raymond-lahoud-3342097.html,"New York, NY",9.4,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/23221-va-carolyn-margolies-838557.html,"Bio: Carolyn Margolies’ 26 years of trial advocacy has been earned in civil and criminal courtrooms throughout New York State and, most recently, Florida Courts. She specializes in Personal Injury, Estate Planning, Criminal Defense and Immigration. As ...",9.2,"Practice Areas: 
               Immigration, Criminal Defense, Personal Injury"
,https://www.avvo.com/attorneys/10001-ny-douglas-lightman-1008219.html,"New York, NY",10,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/10016-ny-melissa-cefalu-5100672.html,"New York, NY",10,"Practice Areas: 
               Immigration, Divorce & Separation, Family and more"
,https://www.avvo.com/attorneys/10006-ny-rakhel-milstein-4136694.html,"New York, NY",7.4,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10151-ny-edit-stelczner-4783989.html,"745 Fifth Ave., 5th Floor, New York, NY",8.9,"Practice Areas: 
               Immigration, Corporate & Incorporation, Limited Liability Company (LLC)"
,https://www.avvo.com/attorneys/10019-ny-matthew-merrick-975827.html,"New York, NY",9.4,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/07105-nj-moses-apsan-1619259.html,"New York, NY",10,"Practice Areas: 
               Immigration, Divorce & Separation, Chapter 13 Bankruptcy and more"
,https://www.avvo.com/attorneys/15222-pa-valerie-may-622189.html,"New York, NY",9.3,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10005-ny-patrick-klauss-1004930.html,"New York, NY",7.1,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10003-ny-dennis-mulligan-847039.html,"New York, NY",9.2,"Practice Areas: 
               Immigration, Asylum"
,https://www.avvo.com/attorneys/77019-tx-nickolas-spradlin-4537144.html,"New York, NY",9.2,"Practice Areas: 
               Immigration, Trademark Application, Franchising and more"
,https://www.avvo.com/attorneys/10005-ny-paul-devendorf-3819654.html,"New York, NY",9.3,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10022-ny-kenneth-dobson-1006467.html,"New York, NY",10,"Practice Areas: 
               Immigration, Ethics & Professional Responsibility"
,https://www.avvo.com/attorneys/10022-ny-tudor-neagu-3561426.html,"Bio: I have practiced immigration and nationality law throughout the United States, but primarily in New York. I specialize in immigration litigation for EOIR matters such as asylum, cancellation of removal, adjustment, habeas corpus, deferred action, ...",9.0,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10007-ny-boris-palant-854892.html,"New York, NY",9.4,"Practice Areas: 
               Immigration, International Law"
,https://www.avvo.com/attorneys/10007-ny-elliot-rahimi-5014548.html,"New York, NY",8.3,"Practice Areas: 
               Immigration, Criminal Defense"
,https://www.avvo.com/attorneys/10123-ny-paul-grotas-3800822.html,"New York, NY",9.8,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10004-ny-sanjay-sethi-2805672.html,"Bio: I am a founding partner of Sethi Mazaheri, LLC.My firm represents individuals in immigration and criminal proceedings in New York, New Jersey and the Washington DC, Metro Area.Most recently, I was an Assistant Prosecutor at the Union County Prosec...",10,"Practice Areas: 
               Immigration, Criminal Defense, Asylum and more"
